The Logical Song
The Logical Song - Remastered 2010	Supertramp	Breakfast In America (Deluxe Edition)	spotify:track:6mHOcVtsHLMuesJkswc0GZ
Клетка	Molchat Doma	Этажи	spotify:track:6WAfQig9RO3vdGfT03difJ
Тоска	Molchat Doma	Этажи	spotify:track:3MkFYlwM2oiweWGyNw8oGt
Фильмы	Molchat Doma	Этажи	spotify:track:4j6ABX3Et5cHfRZ7qk3KW4
A Private Understanding	Protomartyr	Relatives In Descent	spotify:track:7BVk87ORFR4imfNwHOFPs2
Half Sister	Protomartyr	Relatives In Descent	spotify:track:6zbFlDUqDdLbHikceCg64h
The Chuckler	Protomartyr	Relatives In Descent	spotify:track:0LeG6rLnZikAoLQMhSNSBW
Maidenhead	Protomartyr	Under Color of Official Right	spotify:track:4KiDXFDLZ7SJvVDKrq3r8k
Unconscious Melody	Preoccupations	Cassette	spotify:track:58ITGKThH6gQ4qfkir8kKb
Continental Shelf	Preoccupations	Viet Cong	spotify:track:3d5lGpqxg1cMEYrgTaGxZy
Disarray	Preoccupations	New Material	spotify:track:2QlYpno65G6IJ2X3Yp4V9L
Silhouettes	Preoccupations	Viet Cong	spotify:track:07cUDeewEa1wMfKHUakxtK
Bunker Buster	Preoccupations	Viet Cong	spotify:track:7rqZJ8JM8nlNHb4p8eCSTR
Tenderness	Parquet Courts	Wide Awake!	spotify:track:2wF5p2dfUbEiqAnCRVNwmK
Total Football	Parquet Courts	Wide Awake!	spotify:track:5fsfk1Oogb99koL8wyzomw
Freebird II	Parquet Courts	Wide Awake!	spotify:track:3GAKdDYtNBhC6jFx9hzQfA
Almost Had to Start a Fight/In and Out of Patience	Parquet Courts	Wide Awake!	spotify:track:0QAEc5JBdaZMdxqU3xL64H
Pain Killer	Iceage, Sky Ferreira	Beyondless	spotify:track:2V4U5hZOUnY1jzhNZpcrAD
Against the Moon	Iceage	Plowing Into the Field of Love	spotify:track:3boTvdeBx7IeK16oIheGks
The Lord's Favorite	Iceage	Plowing Into the Field of Love	spotify:track:4I2LbmU2yiY2p6m5gJRcRy
Catch it	Iceage	Beyondless	spotify:track:7hlrsvEHB1oiWuoTVpdvKG
Hurrah	Iceage	Beyondless	spotify:track:0KXPx2e7up8Fl7wWjKWOJj
Jj	Priests	Nothing Feels Natural	spotify:track:5pmswGf4fU7jQq7SlpLK1M
Suck	Priests	Nothing Feels Natural	spotify:track:6dqmBsb7lEWvecQjMpwpkY
Nothing Feels Natural	Priests	Nothing Feels Natural	spotify:track:7jFM0wZch8oJVRVQMl2nvV
The Seduction of Kansas	Priests	The Seduction of Kansas	spotify:track:249eZZvOoV1mFb5WF3dBv7
And Breeding	Priests	Bodies and Control and Money and Power	spotify:track:2AD0AAd4bIU6sLOVGkdejy
Adore	Savages	Adore Life	spotify:track:43v9n2WUgrDi4Z4wiEEV8h
Husbands	Savages	Silence Yourself	spotify:track:1Wq2ujMsdwMHDBkG1aCYCv
The Answer	Savages	Adore Life	spotify:track:78s60WtjgHdcqmeQu835vJ
Surrender (Trentemøller Remix)	Savages	Surrender (Trentemøller Remix)	spotify:track:2UGLwTvRN0CHLAhVlcBjCs
Shut Up	Savages	Silence Yourself	spotify:track:12RC8PzvADK34H7DoyD8GH
Annihilator	Night Sins	Portrait in Silver	spotify:track:5hnbT7970Dw2BRHBlEiCGN
Down to Drown	Night Sins	Down to Drown	spotify:track:6HRSqupTXv6lUwr5TnSPnK
Crystal Blue	Night Sins	Dancing Chrome	spotify:track:0330FKCHzvLohx7ab55R2P
Lonely in the Mirror	Night Sins	Portrait in Silver	spotify:track:65NJErmidWsKZ4AWGDylSp
Who Made The Man?	Uranium Club	All Of Them Naturals	spotify:track:7ib5NOykP6HOG6VdjeS6qz
Opus	Uranium Club	All Of Them Naturals	spotify:track:2Miap882SbE8Ms89ONapNH
That Clown's Got A Gun	Uranium Club	All Of Them Naturals	spotify:track:4yjlM9f8HSeUc9qWVTrKd2
Sun Belt	Uranium Club	Human Exploration	spotify:track:2rHXkELXbNjD5TmdgWHi70
Grease Monkey	Uranium Club	The Cosmo Cleaners	spotify:track:0W7555EiwIl7jaSftUBJb8
The Next Fix	Crack Cloud	The Next Fix	spotify:track:4jm9SW9UWzzZ8SIJjYjjCA
Philosopher's Calling	Crack Cloud	Crack Cloud	spotify:track:2rZga21fzRxkArQ07PbimN
Time Unsubsidized	Crack Cloud	Crack Cloud	spotify:track:6gMc9GPAttsyW68GVb0FHb
P T L (Post Traumatic Love)	ACTORS	P T L (Post Traumatic Love) - Single	spotify:track:4BvPHIhf8q9T6wLNtUWBU2
Face Meets Glass	ACTORS	It Will Come to You	spotify:track:7a7G6UxSuYRF7kIaCPAYRT
We Don't Have to Dance	ACTORS	It Will Come to You	spotify:track:0USzpwZZIeqWC4cQUf18ck
It Goes Away	ACTORS	It Goes Away	spotify:track:2kVOzV7gKA5Zw31tFQi3e2
Slaves	ACTORS	It Will Come to You	spotify:track:1AnRrw880yjGXFWoKhQtu0
The Last Train's Come and Gone	Cindy Lee	Act of Tenderness	spotify:track:1438FzaDW0V4T9jys3eRwX
Always Lovers	Cindy Lee	Malenkost	spotify:track:6pOO4LRe594Ry898Be5HmI
Power and Posession	Cindy Lee	Act of Tenderness	spotify:track:4RMx5oPJ9vhLWzqHQGZiDH
Operation	Cindy Lee	Act of Tenderness	spotify:track:55QUCjrTjJtrTYJFg3zcmY
Dry Dive	Cindy Lee	Model Express	spotify:track:2qrejFX0fFbE2Mq1ZGXSvr
Nose Picker	Negative Scanner	Nose Picker	spotify:track:6n1zgrr2GRTGNWyG8gv8se
T.V.	Negative Scanner	Nose Picker	spotify:track:7H01gz5N7iQpJq78KBzTip
Low	Negative Scanner	Negative Scanner	spotify:track:3LDMTzb5rGJRZsPmyPRD2a
History Lesson	Negative Scanner	Nose Picker	spotify:track:4qCbjsg5AtMnj2wTnbbnVz
Shoplifter	Negative Scanner	Nose Picker	spotify:track:1dt82JdJEL5OmmTi6EnWHv
Durdu Dünya	She Past Away	Disko Anksiyete	spotify:track:0rXcRGePzt2vuBjTQnshsL
Asimilasyon	She Past Away	Narin Yalnizlik	spotify:track:513Btbko3502Gth1g7Seyj
Ritüel	She Past Away	Belirdi Gece	spotify:track:53STwUcy9VxTLyAVLLGQyy
Disko Anksiyete	She Past Away	Disko Anksiyete	spotify:track:0jCpXJNy6RMIVvsvQjquHz
Excuse Generator	Lithics	Mating Surfaces	spotify:track:0c3YWBPsNzyREE1rO0LaVl
Specs	Lithics	Mating Surfaces	spotify:track:6xE3vkaDsZ9fvpzTG7XR09
Edible Door	Lithics	Mating Surfaces	spotify:track:7vPVgaStuMnrVSiNfkbmpU
Glass of Water	Lithics	Mating Surfaces	spotify:track:5CdNvYunpWeVJmjC1DLI3G

Post Punk 2k
Beautiful Blue Sky	Ought	Sun Coming Down	spotify:track:2lp3ycHVNMK2xZ5GFMwEtX
Strong Enough	Porridge Radio, Piglet	Let’s Not Fight ! b/w Strong Enough	spotify:track:3zCp3vtCQD11S9VyqHVQlN
Girls & Boys	Viagra Boys	Girls & Boys	spotify:track:4Xt5Zpuk3AGXfojsWJP23l
Theme from Krill	Krill	Lucky Leaves	spotify:track:67ttNRUJGWnjeLOQjCtMSV
Narrator - Edit	Squid, Martha Skye Murphy	Narrator	spotify:track:0kU1dKmPqpSjHBMQ0lU9z1
Southbound Station	Omni	Multi-task	spotify:track:2XJRjW5xk9SluEBqsjuBK6
Disarray	Preoccupations	New Material	spotify:track:2QlYpno65G6IJ2X3Yp4V9L
Nothing Feels Natural	Priests	Nothing Feels Natural	spotify:track:7jFM0wZch8oJVRVQMl2nvV
These Are Not Your Memories	TVAM	These Are Not Your Memories	spotify:track:3IibriQcR33GG9ZDkBdLiT
Total Football	Parquet Courts	Wide Awake!	spotify:track:5fsfk1Oogb99koL8wyzomw
Magic of Meghan	Dry Cleaning	Magic of Meghan	spotify:track:2aLK2WqtkW4pkBh8wH3lUn
One Rizla	shame	Songs of Praise	spotify:track:2ibdYmH7GRHNnUcBa6kbnG
Stick	Ovlov	TRU	spotify:track:3MM4P4bSI9aihs5hVYPzYt
Wired/Weird	Beige Banquet	Beta	spotify:track:6HpelWP42NVal2WShBobNt
Protathlitis	MAZOHA	Protathlitis	spotify:track:3El123DgjXaQvGUDEYD0Pl
Sit Down Meal	Dry Cleaning	Sit Down Meal	spotify:track:2TXt5g2SyO4ZPNcJnVVeCh
Nite Expo	Thee Oh Sees	Orc	spotify:track:4MMUZtRnaz25sXteRs2mXl
She Will	Savages	Silence Yourself	spotify:track:345yzi3WeMTpMTl3Nyvjjk
Hunger for a Way Out	Sweeping Promises	Hunger for a Way Out	spotify:track:4bXsXIRPbTk783vfyA2oRe
Concrete	shame	Songs of Praise	spotify:track:6X7H3JTAUGAL1rSwohnPBX
Pain Killer	Iceage, Sky Ferreira	Beyondless	spotify:track:2V4U5hZOUnY1jzhNZpcrAD
Almost Had to Start a Fight/In and Out of Patience	Parquet Courts	Wide Awake!	spotify:track:0QAEc5JBdaZMdxqU3xL64H
The Hype	Shopping	The Official Body	spotify:track:7zgfVkrjf2B9qWE1CUaXyr
Silhouettes	Preoccupations	Viet Cong	spotify:track:07cUDeewEa1wMfKHUakxtK
Water in the Well	shame	Water in the Well	spotify:track:38UnguvFOM6pfME9l9zig4
Sunglasses - Edit	Black Country, New Road	Sunglasses	spotify:track:449tx8bd5PFEw5dT0KPpLz
Fruit	Pill	Fruit	spotify:track:0cd8BhLPz3ZyJSkfuD4bN1
Processed By The Boys	Protomartyr	Processed By The Boys	spotify:track:5iOgwvHcgvW7EMaMDt79aT
Letter	Dehd	Letter	spotify:track:0FOtDyR1nTN9vMQs0jVGeU
The Cleaner	Squid	The Cleaner	spotify:track:0NCu73bAuBp4tXZFx4DEHJ
Calling It	Automatic	Calling It	spotify:track:1V4GgaXzuPn4lOWtx33crz
Paul	Girl Band	Holding Hands With Jamie	spotify:track:1ulRN20ts4efc3DHKABsVu
Talking Pictures	FRIGS	Basic Behaviour	spotify:track:41rEc1qxuC6RSD9Kmgrokw
Another Night	The Men	Tomorrow's Hits	spotify:track:3x2kMMjAMfZvgV9PacT3Mw
Courtesy Call	Omni	Courtesy Call	spotify:track:3abS9KDClZlCFY7n1g5HEZ
Ecstasy	Iceage	You're Nothing	spotify:track:4CVOzpLvzCkpptq4PURXvi
I Don't Belong	Fontaines D.C.	I Don't Belong	spotify:track:5cROm5vS1sK0gM3NQL5Gr6
Wheel of Fortune	Protomartyr, Kelley Deal	Consolation E.P.	spotify:track:7b8yk8Rnqvfxjr8kJmZqjS
Shiny New Model	BODEGA	Shiny New Model	spotify:track:5Blr6wOtVsOujq4YsTDETf
Goodnight	Dry Cleaning	Goodnight	spotify:track:4p9oD9628pjRospq8ztiCU
Don't Cling To Life	The Murder Capital	Don't Cling To Life	spotify:track:0KWnYZSO5GAzCJrgr4oGNr
Sports	Viagra Boys	Sports	spotify:track:56yeb6zxKn9aNjLyvbs1BM
Nigel Hitter	shame	Nigel Hitter	spotify:track:5sV5xcygaRKdwL48GIvj1a
Sincerely Yours	Omni	Sincerely Yours	spotify:track:681yJhwlkfzPd4ZRc9SUAF
Flying	Dehd	Flower of Devotion	spotify:track:4i2s69U5vRLS0KQtNMAWbb
Stimulus for Living	Drahla	Stimulus for Living	spotify:track:6ZuhUEBqrXxvsrxAymcwzh
Houseplants	Squid	Houseplants	spotify:track:3Q1Q4dftyBYbcCa0YFIhUD
Down in the Basement	Viagra Boys	Street Worms	spotify:track:3EQGADvujDRkbRVBXV0fr8
Who's My Eugene? - Edit	Tropical Fuck Storm	Who's My Eugene? - Edit	spotify:track:5JqeO2yMJNmdgk2B7HPy9i
Jumbo’s	Protomartyr	Jumbo’s	spotify:track:6geZTtlllUBUei0ypRehDt
This Heat	Deeper	This Heat	spotify:track:5zzfwhoMD6rRct8MTyeAFR
Who’s Got Time?	Flasher	Constant Image	spotify:track:6rNIOIuVgJeftM3T0f0AVg
Life Goes On	Beak>	Life Goes On	spotify:track:19PvZLD2TpIzc7JqcTRxa0
South	Wu-Lu, Lex Amor	South	spotify:track:7pMZ71tatoBEvhpM5ZaIS2
Lucky	Dehd	Lucky	spotify:track:4r7cKo2Lp5sD6VcK1Gu3r4

Post-punk audit
Newspaper Spoons	Preoccupations	Viet Cong	spotify:track:4xvEGLCai1xbgUpMlRkxAG
Pointless Experience	Preoccupations	Viet Cong	spotify:track:1Id5XulbhDmhH2vDNTLQiP
March of Progress	Preoccupations	Viet Cong	spotify:track:2L5lWX4pagbHRIMV1YVBy5
Bunker Buster	Preoccupations	Viet Cong	spotify:track:7rqZJ8JM8nlNHb4p8eCSTR
Continental Shelf	Preoccupations	Viet Cong	spotify:track:3d5lGpqxg1cMEYrgTaGxZy
Silhouettes	Preoccupations	Viet Cong	spotify:track:07cUDeewEa1wMfKHUakxtK
Death	Preoccupations	Viet Cong	spotify:track:69izLOjRU2txMIcNghWd0I
The Devil in His Youth	Protomartyr	The Agent Intellect	spotify:track:4gYKox72XEHWLsKHBsPEL5
Cowards Starve	Protomartyr	The Agent Intellect	spotify:track:2GOncz0yupivM8gTNqI0ni
I Forgive You	Protomartyr	The Agent Intellect	spotify:track:4LbYMAWT2ApEARMMjOHxvP
Boyce or Boice	Protomartyr	The Agent Intellect	spotify:track:7HkMMiq88VUWP0Inr5cg8n
Pontiac 87	Protomartyr	The Agent Intellect	spotify:track:2258MfnrxFPlI46lE6f1Iz
Uncle Mother's	Protomartyr	The Agent Intellect	spotify:track:62zxgGLwnoJyZKCmNX2Kjt
Dope Cloud	Protomartyr	The Agent Intellect	spotify:track:7DKStSTQxDrhBmLCOvO6qN
The Hermit	Protomartyr	The Agent Intellect	spotify:track:2wxI72CJ3WQ3SUyNRleXnh
Clandestine Time	Protomartyr	The Agent Intellect	spotify:track:0X7nnlWwGy4Baq7eUpGAoR
Why Does It Shake?	Protomartyr	The Agent Intellect	spotify:track:3Fqgd0BtDJkHrHk4Q2Yq8o
Ellen	Protomartyr	The Agent Intellect	spotify:track:5Zv0ICd6fclpe1rY3K6udM
Feast of Stephen	Protomartyr	The Agent Intellect	spotify:track:03G9uPkT8Xcz6HqrxSPr3n
Total Football	Parquet Courts	Wide Awake!	spotify:track:5fsfk1Oogb99koL8wyzomw
Violence	Parquet Courts	Wide Awake!	spotify:track:5pfERhAfhpscnAKQnZgnaC
Before the Water Gets Too High	Parquet Courts	Wide Awake!	spotify:track:5wpBEy8gYVQmb5VArtayfp
Mardi Gras Beads	Parquet Courts	Wide Awake!	spotify:track:7mVj1R3omIBoyFaMDV0fG4
Almost Had to Start a Fight/In and Out of Patience	Parquet Courts	Wide Awake!	spotify:track:0QAEc5JBdaZMdxqU3xL64H
Freebird II	Parquet Courts	Wide Awake!	spotify:track:3GAKdDYtNBhC6jFx9hzQfA
Normalisation	Parquet Courts	Wide Awake!	spotify:track:51bMZRDRjn3wsLUyyEY08u
Back to Earth	Parquet Courts	Wide Awake!	spotify:track:3NMVmvEQuLx2BFETr5DGFF
Wide Awake	Parquet Courts	Wide Awake!	spotify:track:7COxY38TB5HTeXRAucOEW4
NYC Observation	Parquet Courts	Wide Awake!	spotify:track:0ctBsZVhuR5neBVKhidPLt
Extinction	Parquet Courts	Wide Awake!	spotify:track:2w4IOwRp9CLexehyJN90Md
Death Will Bring Change	Parquet Courts	Wide Awake!	spotify:track:1ovG6NnVterZgBLQdeddOq
Tenderness	Parquet Courts	Wide Awake!	spotify:track:2wF5p2dfUbEiqAnCRVNwmK
Remains	Algiers	Algiers	spotify:track:6Vk3MMnpioe9MYvoQUgjew
Claudette	Algiers	Algiers	spotify:track:302sth2ekZk0Jx3muBGIC8
And When You Fall	Algiers	Algiers	spotify:track:7e5QsZHevWJbjgu3qeKWMz
Blood	Algiers	Algiers	spotify:track:7ldMja9Us2gUrXmIxRWfpl
Old Girl	Algiers	Algiers	spotify:track:3Y8f0jepQZ9Nb6UQcQSzOX
Irony. Utility. Pretext.	Algiers	Algiers	spotify:track:4aWxijBBxw158KTPSUJkTt
But She Was Not Flying	Algiers	Algiers	spotify:track:6AE3lDGWfBLJRyRVbmAHAu
Black Eunuch	Algiers	Algiers	spotify:track:2aNHMMpclCTUBeFRzHmHBy
Games	Algiers	Algiers	spotify:track:51rCZoBe2NdJpSjkBxzISo
In Parallax	Algiers	Algiers	spotify:track:0jdxrVGNCVD9S1HUKabPue
untitled	Algiers	Algiers	spotify:track:1rqF3ZBpMOpURSeMUQFadY
Shut Up	Savages	Silence Yourself	spotify:track:12RC8PzvADK34H7DoyD8GH
I Am Here	Savages	Silence Yourself	spotify:track:21L9PAOKbo9GTDysLscztL
City’s Full	Savages	Silence Yourself	spotify:track:0UE3IEvNmqi7CyUqDZXScU
Strife	Savages	Silence Yourself	spotify:track:1jJE6kIho33FcUZMyxz58m
Waiting for a Sign	Savages	Silence Yourself	spotify:track:2ZzAGE2NKgyo3CLDGYMBeZ
Dead Nature	Savages	Silence Yourself	spotify:track:2GRpkni1WEtryYDAmlScC2
She Will	Savages	Silence Yourself	spotify:track:345yzi3WeMTpMTl3Nyvjjk
No Face	Savages	Silence Yourself	spotify:track:5KTzvBaCjJJeb8uvhAfogq
Hit Me	Savages	Silence Yourself	spotify:track:4OBM2rZSQZas2DfBeWkIla
Husbands	Savages	Silence Yourself	spotify:track:1Wq2ujMsdwMHDBkG1aCYCv
Marshal Dear	Savages	Silence Yourself	spotify:track:1GRminqAAGshlfQTBlwYJ3
On My Fingers	Iceage	Plowing Into the Field of Love	spotify:track:0012gIWzFurw8rjIdNptaS
The Lord's Favorite	Iceage	Plowing Into the Field of Love	spotify:track:4I2LbmU2yiY2p6m5gJRcRy
How Many	Iceage	Plowing Into the Field of Love	spotify:track:0Yge5BCAZfRCjXYTgUrUQ0
Glassy Eyed, Dormant and Veiled	Iceage	Plowing Into the Field of Love	spotify:track:1WX6mFLw5KHCYP7JmZFf4i
Stay	Iceage	Plowing Into the Field of Love	spotify:track:0inCYqLHPpwTKl3vW7KbCk
Let It Vanish	Iceage	Plowing Into the Field of Love	spotify:track:13gzO8HQDJtWzk76y8Kn3s
Abundant Living	Iceage	Plowing Into the Field of Love	spotify:track:5QUDfgFmbbgcBa8FT5CSUu
Forever	Iceage	Plowing Into the Field of Love	spotify:track:0KSONMZo3WQepg0TYylJGD
Cimmerian Shade	Iceage	Plowing Into the Field of Love	spotify:track:49I0v2Wu79zNT1j70AhxUt
Against the Moon	Iceage	Plowing Into the Field of Love	spotify:track:3boTvdeBx7IeK16oIheGks
Simony	Iceage	Plowing Into the Field of Love	spotify:track:1EOHT6EEoafW26jbUOAufK
Plowing Into the Field of Love	Iceage	Plowing Into the Field of Love	spotify:track:2nKa7GvgDgEqQH7qXYBJMn
Air Dance	Night Sins	To London Or the Lake	spotify:track:6m8dDZ7rI6xBBq2WEArX3s
To London Or the Lake	Night Sins	To London Or the Lake	spotify:track:2ARUbLCLdloApdfQcVw3Cb
Evangeline	Night Sins	To London Or the Lake	spotify:track:3wA4TE4l3xEqRsephsvHkk
Rain	Night Sins	To London Or the Lake	spotify:track:20P9lgU4LhwCp9E4uXu839
Bound 'Round the World	Night Sins	To London Or the Lake	spotify:track:6LWlSG6km7P3XzNg3U1DA4
Heaven in the Snow	Night Sins	To London Or the Lake	spotify:track:5CNwAa8uA4QqjGE5aTtNnK
Dear Marquis	Night Sins	To London Or the Lake	spotify:track:6P8Zdv5MpG2KyOfYi0HNyU
Neon Light Intoxicants	Night Sins	To London Or the Lake	spotify:track:2ZIby7MlAymstMNELB4yh8
Dance Yrself Clean	LCD Soundsystem	This Is Happening	spotify:track:2cmRpmO04TLaKPzmAzySYZ
Drunk Girls	LCD Soundsystem	This Is Happening	spotify:track:0IUAugkLGELvtFJfzPn2vi
One Touch	LCD Soundsystem	This Is Happening	spotify:track:6nlmCGmPBYfdKnMpavObQm
All I Want	LCD Soundsystem	This Is Happening	spotify:track:4Cy0NHJ8Gh0xMdwyM9RkQm
I Can Change	LCD Soundsystem	This Is Happening	spotify:track:2073QOEC8rBtSyTsRyaWiP
You Wanted a Hit	LCD Soundsystem	This Is Happening	spotify:track:3fU0407Cls1hLW1ap5w2Lr
Pow Pow	LCD Soundsystem	This Is Happening	spotify:track:3VhBuvzzuGUuh7nyJJvGLk
Somebody's Calling Me	LCD Soundsystem	This Is Happening	spotify:track:4NiwTsBlFT7H2OMpUbadwL
Home	LCD Soundsystem	This Is Happening	spotify:track:5gmv3BgePSYiHnPJgY7oTJ
More of What	Crack Cloud	Crack Cloud	spotify:track:2sI7hOTyqs7VcuSBJNTxii
Drab Measure	Crack Cloud	Crack Cloud	spotify:track:5SQOAXMrAxunWzVTW3oIvP
Time Unsubsidized	Crack Cloud	Crack Cloud	spotify:track:6gMc9GPAttsyW68GVb0FHb
Cap//Cloak	Crack Cloud	Crack Cloud	spotify:track:3BDrnpgDmzMU4M40zKupV8
Bastard Basket	Crack Cloud	Crack Cloud	spotify:track:7AtvJPtUqRsKbnDNDeO53S
Lack of Lack	Crack Cloud	Crack Cloud	spotify:track:5CVC3oArsFQaVHBv4OLYIS
Graph of Desire	Crack Cloud	Crack Cloud	spotify:track:5YVaI6vnv6l5J7q4GYzLx3
Empty Cell	Crack Cloud	Crack Cloud	spotify:track:76FHqYVtY0VomshJYtj4N1
Image Craft	Crack Cloud	Crack Cloud	spotify:track:4J3CrA9m3I6oRiTOQNfVaQ
Philosopher's Calling	Crack Cloud	Crack Cloud	spotify:track:2rZga21fzRxkArQ07PbimN
Swish Swash	Crack Cloud	Crack Cloud	spotify:track:75LA67HCWFpxV5LaiMEPu4
Xyx	ACTORS	Reanimated	spotify:track:6F4bIoYVqpopACVSEn9iPv
How Deep Is the Hole	ACTORS	Reanimated	spotify:track:4i8OLf74MDQaDPDGTdZPM9
Like U Want 2	ACTORS	Reanimated	spotify:track:0PAhQpWo4Y8S0G8P4owVTb
Jacknife	ACTORS	Reanimated	spotify:track:4hFK88uuhVas6Pl6VXwApQ
Flesh & Bone	ACTORS	Reanimated	spotify:track:6oz0mSgSERWuqWJrFYxRSN
Forever	ACTORS	Reanimated	spotify:track:3AzwcA8dCBeA78Wv3OYUoc
Already Dead	Parquet Courts	Human Performance	spotify:track:5E6VidlnFqvmJu3SZmaaqq
Dust	Parquet Courts	Human Performance	spotify:track:0bZDQlvx2oS1NiUZZ1aXGu
Human Performance	Parquet Courts	Human Performance	spotify:track:3iyYmoZMI4o0xW0nCLwAT3
Outside	Parquet Courts	Human Performance	spotify:track:03esnE5CZwxCLie5NedKRo
I Was Just Here	Parquet Courts	Human Performance	spotify:track:6ueKoWHXKBwsnhFjTORjHl
Paraphrased	Parquet Courts	Human Performance	spotify:track:3xdjI4AdnT93n9z7rIe7Tg
Captive of the Sun	Parquet Courts	Human Performance	spotify:track:1bUdQCDuvzb1OBmBfqGqaF
Steady on My Mind	Parquet Courts	Human Performance	spotify:track:2zyXkd7RFLgYyvgsQk9bzi
One Man No City	Parquet Courts	Human Performance	spotify:track:1NdJo2IKt1NkVxAQNfZh47
Berlin Got Blurry	Parquet Courts	Human Performance	spotify:track:7qPK7huRsW7uBsQFTLWZk8
Keep It Even	Parquet Courts	Human Performance	spotify:track:3bPlFZUQ1gY0jhRCTJrrWS
Two Dead Cops	Parquet Courts	Human Performance	spotify:track:5zLaH3gC26RVIa38eHRoFp
Pathos Prairie	Parquet Courts	Human Performance	spotify:track:7xXjg23Rux7Q0hCvsC3QmZ
It's Gonna Happen	Parquet Courts	Human Performance	spotify:track:2HCv4072HhDaOtP3R5FnwR
Hurrah	Iceage	Beyondless	spotify:track:0KXPx2e7up8Fl7wWjKWOJj
Pain Killer	Iceage, Sky Ferreira	Beyondless	spotify:track:2V4U5hZOUnY1jzhNZpcrAD
Under the sun	Iceage	Beyondless	spotify:track:0WhcNje7Vpz83dTXmnGums
The day the music dies	Iceage	Beyondless	spotify:track:6bJao385FumXdxIK8ITi8b
Plead the fifth	Iceage	Beyondless	spotify:track:4PKjqKbXsZ8EYVc07aWACM
Catch it	Iceage	Beyondless	spotify:track:7hlrsvEHB1oiWuoTVpdvKG
Thieves like us	Iceage	Beyondless	spotify:track:5mlXpdwGt3k5iQeBxFEHyy
Take it all	Iceage	Beyondless	spotify:track:0Wt0GOi6XcUiXiKMqkKzlb
Showtime	Iceage	Beyondless	spotify:track:0L4AVLZRe8MAQIsAGWsxGE
Beyondless	Iceage	Beyondless	spotify:track:5w25KECGn4VnvCaPBKUlfc
A Private Understanding	Protomartyr	Relatives In Descent	spotify:track:7BVk87ORFR4imfNwHOFPs2
Here Is The Thing	Protomartyr	Relatives In Descent	spotify:track:18wNLr1R1cD0UD010WEIJp
My Children	Protomartyr	Relatives In Descent	spotify:track:6fd5sPEa5gFBDaQ3mkj7Zd
Caitriona	Protomartyr	Relatives In Descent	spotify:track:3xrQjt12U3dN5YPqqEPHnI
The Chuckler	Protomartyr	Relatives In Descent	spotify:track:0LeG6rLnZikAoLQMhSNSBW
Windsor Hum	Protomartyr	Relatives In Descent	spotify:track:4BrhQxpQz9rkP8E0BDlluP
Don’t Go To Anacita	Protomartyr	Relatives In Descent	spotify:track:5XmmNOaaE9Y6jyMMaxX2TT
Up The Tower	Protomartyr	Relatives In Descent	spotify:track:6PT7rwuJ7VRa40Qad2pw9B
Night-Blooming Cereus	Protomartyr	Relatives In Descent	spotify:track:69fTwCV254As5JMpa8rlSz
Male Plague	Protomartyr	Relatives In Descent	spotify:track:5xsMey4SLi6Ir8DQgBrDYe
Corpses In Regalia	Protomartyr	Relatives In Descent	spotify:track:6vyxUUHQQkguxWp3bH1JZZ
Half Sister	Protomartyr	Relatives In Descent	spotify:track:6zbFlDUqDdLbHikceCg64h
Act of Tenderness	Cindy Lee	Act of Tenderness	spotify:track:26bNppayJcMtcKmk3GLWxa
Power and Posession	Cindy Lee	Act of Tenderness	spotify:track:4RMx5oPJ9vhLWzqHQGZiDH
What I Need	Cindy Lee	Act of Tenderness	spotify:track:56AHOyzwB9UHnCdAwsaTux
New Romance	Cindy Lee	Act of Tenderness	spotify:track:2Y7rrhdPrxVzdsCvV7VVor
The Last Train's Come and Gone	Cindy Lee	Act of Tenderness	spotify:track:1438FzaDW0V4T9jys3eRwX
Operation	Cindy Lee	Act of Tenderness	spotify:track:55QUCjrTjJtrTYJFg3zcmY
Quit Doing Me Wrong	Cindy Lee	Act of Tenderness	spotify:track:2avMdD4xUh400Qa6qsOGIF
Fallen Angel	Cindy Lee	Act of Tenderness	spotify:track:32aFKBkBfcBRlk6ys1SUrD
Bonsai Garden	Cindy Lee	Act of Tenderness	spotify:track:0EKlp44oYo4f7IPMFuWwAy
Miracle of the Rose	Cindy Lee	Act of Tenderness	spotify:track:1mZmQUijIU8sJ0skea5kiI
Wandering and Solitude	Cindy Lee	Act of Tenderness	spotify:track:7zfUtkVoKFib5Y8romTeVh
A New Love Is Believing	Cindy Lee	Act of Tenderness	spotify:track:5frkSWLXq5enbmGdgZIZ5z
Introduction	Uranium Club	All Of Them Naturals	spotify:track:0ixa7hOenvqfHYe2Rh6ZIb
That Clown's Got A Gun	Uranium Club	All Of Them Naturals	spotify:track:4yjlM9f8HSeUc9qWVTrKd2
The Lottery	Uranium Club	All Of Them Naturals	spotify:track:76r8GMCfAFttfKqvTKH623
God's Chest	Uranium Club	All Of Them Naturals	spotify:track:7ys9JxHIV3QlJXPDQ6vbkc
Who Made The Man?	Uranium Club	All Of Them Naturals	spotify:track:7ib5NOykP6HOG6VdjeS6qz
Opus	Uranium Club	All Of Them Naturals	spotify:track:2Miap882SbE8Ms89ONapNH
Operation Pt.II	Uranium Club	All Of Them Naturals	spotify:track:1j2wtYGvaWQsP14bPQz6P7
